p0	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p30	p31	p32	p33	p34	p35
45.00000000	45.00000000	45.00000000	45.00000000	45.00000001	45.00000000	45.00000000	45.00000000	45.00000000	45.00000005	45.00000084	45.00000005	45.00000000	45.00000000	45.00000008	45.00000252	45.00004308	45.00000260	45.00000000	45.00000005	45.00000252	45.00008604	45.00167544	45.00008857	45.00000001	45.00000084	45.00004308	45.00167544	45.04503173	45.00171850	45.00000000	45.00000005	45.00000260	45.00008857	45.00171850	45.00009117
45.00000000	45.00000000	45.00000000	45.00000004	45.00000030	45.00000004	45.00000000	45.00000000	45.00000008	45.00000116	45.00000901	45.00000124	45.00000000	45.00000008	45.00000174	45.00002682	45.00021458	45.00002855	45.00000004	45.00000116	45.00002682	45.00042674	45.00353359	45.00045352	45.00000030	45.00000901	45.00021458	45.00353359	45.03036436	45.00374786	45.00000004	45.00000124	45.00002855	45.00045352	45.00374786	45.00048203
45.00000000	45.00000000	45.00000003	45.00000029	45.00000145	45.00000032	45.00000000	45.00000004	45.00000056	45.00000545	45.00002715	45.00000601	45.00000003	45.00000056	45.00000814	45.00007995	45.00040339	45.00008805	45.00000029	45.00000545	45.00007995	45.00079529	45.00406438	45.00087494	45.00000145	45.00002715	45.00040339	45.00406438	45.02104139	45.00446633	45.00000032	45.00000601	45.00008805	45.00087494	45.00446633	45.00096267
45.00000000	45.00000001	45.00000015	45.00000104	45.00000380	45.00000118	45.00000001	45.00000018	45.00000194	45.00001384	45.00005103	45.00001577	45.00000015	45.00000194	45.00002062	45.00014784	45.00054851	45.00016831	45.00000104	45.00001384	45.00014784	45.00106731	45.00398546	45.00121412	45.00000380	45.00005103	45.00054851	45.00398546	45.01498051	45.00453017	45.00000118	45.00001577	45.00016831	45.00121412	45.00453017	45.00138125
45.00000001	45.00000005	45.00000044	45.00000248	45.00000732	45.00000292	45.00000005	45.00000055	45.00000455	45.00002568	45.00007602	45.00003018	45.00000044	45.00000455	45.00003807	45.00021550	45.00064039	45.00025312	45.00000248	45.00002568	45.00021550	45.00122492	45.00365463	45.00143793	45.00000732	45.00007602	45.00064039	45.00365463	45.01095253	45.00428771	45.00000292	45.00003018	45.00025312	45.00143793	45.00428771	45.00168813
45.00000002	45.00000015	45.00000100	45.00000469	45.00001174	45.00000568	45.00000015	45.00000122	45.00000843	45.00003948	45.00009900	45.00004777	45.00000100	45.00000843	45.00005819	45.00027329	45.00068703	45.00033048	45.00000469	45.00003948	45.00027329	45.00128718	45.00324534	45.00155578	45.00001174	45.00009900	45.00068703	45.00324534	45.00821492	45.00392063	45.00000568	45.00004777	45.00033048	45.00155578	45.00392063	45.00188058
45.00000005	45.00000032	45.00000189	45.00000760	45.00001672	45.00000944	45.00000032	45.00000227	45.00001334	45.00005370	45.00011838	45.00006672	45.00000189	45.00001334	45.00007860	45.00031697	45.00070018	45.00039367	45.00000760	45.00005370	45.00031697	45.00128118	45.00283747	45.00159055	45.00001672	45.00011838	45.00070018	45.00283747	45.00631199	45.00352093	45.00000944	45.00006672	45.00039367	45.00159055	45.00352093	45.00197477
45.00000010	45.00000061	45.00000312	45.00001103	45.00002194	45.00001404	45.00000061	45.00000368	45.00001891	45.00006706	45.00013363	45.00008537	45.00000312	45.00001891	45.00009739	45.00034592	45.00069051	45.00044019	45.00001103	45.00006706	45.00034592	45.00123121	45.00246431	45.00156610	45.00002194	45.00013363	45.00069051	45.00246431	45.00495948	45.00313287	45.00001404	45.00008537	45.00044019	45.00156610	45.00313287	45.00199225
45.00000019	45.00000102	45.00000464	45.00001477	45.00002713	45.00001922	45.00000102	45.00000540	45.00002472	45.00007874	45.00014484	45.00010245	45.00000464	45.00002472	45.00011335	45.00036158	45.00066626	45.00047029	45.00001477	45.00007874	45.00036158	45.00115593	45.00213655	45.00150275	45.00002713	45.00014484	45.00066626	45.00213655	45.00397705	45.00277567	45.00001922	45.00010245	45.00047029	45.00150275	45.00277567	45.00195381
45.00000033	45.00000155	45.00000641	45.00001861	45.00003208	45.00002470	45.00000155	45.00000735	45.00003039	45.00008830	45.00015240	45.00011714	45.00000641	45.00003039	45.00012587	45.00036628	45.00063337	45.00048574	45.00001861	45.00008830	45.00036628	45.00106843	45.00185449	45.00141610	45.00003208	45.00015240	45.00063337	45.00185449	45.00324829	45.00245577	45.00002470	45.00011714	45.00048574	45.00141610	45.00245577	45.00187713
45.00000052	45.00000221	45.00000835	45.00002236	45.00003664	45.00003019	45.00000221	45.00000942	45.00003562	45.00009558	45.00015679	45.00012899	45.00000835	45.00003562	45.00013485	45.00036251	45.00059594	45.00048900	45.00002236	45.00009558	45.00036251	45.00097731	45.00161414	45.00131745	45.00003664	45.00015679	45.00059594	45.00161414	45.00269680	45.00217342	45.00003019	45.00012899	45.00048900	45.00131745	45.00217342	45.00177625
45.00000077	45.00000297	45.00001035	45.00002588	45.00004071	45.00003547	45.00000297	45.00001152	45.00004019	45.00010067	45.00015855	45.00013789	45.00001035	45.00004019	45.00014047	45.00035255	45.00055667	45.00048267	45.00002588	45.00010067	45.00035255	45.00088793	45.00141010	45.00121459	45.00004071	45.00015855	45.00055667	45.00141010	45.00227153	45.00192603	45.00003547	45.00013789	45.00048267	45.00121459	45.00192603	45.00166179
45.00000107	45.00000381	45.00001234	45.00002906	45.00004423	45.00004033	45.00000381	45.00001355	45.00004400	45.00010376	45.00015817	45.00014395	45.00001234	45.00004400	45.00014313	45.00033837	45.00051733	45.00046916	45.00002906	45.00010376	45.00033837	45.00080335	45.00123693	45.00111265	45.00004423	45.00015817	45.00051733	45.00123693	45.00193782	45.00171000	45.00004033	45.00014395	45.00046916	45.00111265	45.00171000	45.00154147
45.00000143	45.00000469	45.00001425	45.00003183	45.00004717	45.00004466	45.00000469	45.00001544	45.00004699	45.00010512	45.00015607	45.00014742	45.00001425	45.00004699	45.00014331	45.00032152	45.00047904	45.00045057	45.00003183	45.00010512	45.00032152	45.00072515	45.00108969	45.00101483	45.00004717	45.00015607	45.00047904	45.00108969	45.00167174	45.00152154	45.00004466	45.00014742	45.00045057	45.00101483	45.00152154	45.00142073
45.00000183	45.00000559	45.00001602	45.00003415	45.00004952	45.00004834	45.00000559	45.00001714	45.00004918	45.00010503	45.00015264	45.00014862	45.00001602	45.00004918	45.00014148	45.00030319	45.00044248	45.00042865	45.00003415	45.00010503	45.00030319	45.00065393	45.00096415	45.00092296	45.00004952	45.00015264	45.00044248	45.00096415	45.00145649	45.00135706	45.00004834	45.00014862	45.00042865	45.00092296	45.00135706	45.00130325
45.00000226	45.00000649	45.00001761	45.00003601	45.00005131	45.00005136	45.00000649	45.00001861	45.00005063	45.00010377	45.00014821	45.00014791	45.00001761	45.00005063	45.00013811	45.00028428	45.00040802	45.00040477	45.00003601	45.00010377	45.00028428	45.00058974	45.00085671	45.00083799	45.00005131	45.00014821	45.00040802	45.00085671	45.00128007	45.00121338	45.00005136	45.00014791	45.00040477	45.00083799	45.00121338	45.00119138
45.00000273	45.00000735	45.00001899	45.00003743	45.00005256	45.00005370	45.00000735	45.00001984	45.00005139	45.00010159	45.00014304	45.00014564	45.00001899	45.00005139	45.00013360	45.00026542	45.00037584	45.00038001	45.00003743	45.00010159	45.00026542	45.00053227	45.00076444	45.00076024	45.00005256	45.00014304	45.00037584	45.00076444	45.00113381	45.00108767	45.00005370	45.00014564	45.00038001	45.00076024	45.00108767	45.00108653
45.00000320	45.00000815	45.00002015	45.00003843	45.00005331	45.00005538	45.00000815	45.00002081	45.00005157	45.00009872	45.00013736	45.00014214	45.00002015	45.00005157	45.00012829	45.00024704	45.00034602	45.00035517	45.00003843	45.00009872	45.00024704	45.00048105	45.00068488	45.00068964	45.00005331	45.00013736	45.00034602	45.00068488	45.00101132	45.00097754	45.00005538	45.00014214	45.00035517	45.00068964	45.00097754	45.00098940
45.00000367	45.00000889	45.00002107	45.00003904	45.00005360	45.00005644	45.00000889	45.00002155	45.00005125	45.00009534	45.00013136	45.00013771	45.00002107	45.00005125	45.00012247	45.00022944	45.00031853	45.00033083	45.00003904	45.00009534	45.00022944	45.00043553	45.00061605	45.00062590	45.00005360	45.00013136	45.00031853	45.00061605	45.00090782	45.00088091	45.00005644	45.00013771	45.00033083	45.00062590	45.00088091	45.00090025
45.00000414	45.00000954	45.00002178	45.00003931	45.00005350	45.00005694	45.00000954	45.00002206	45.00005053	45.00009163	45.00012519	45.00013261	45.00002178	45.00005053	45.00011637	45.00021280	45.00029329	45.00030739	45.00003931	45.00009163	45.00021280	45.00039513	45.00055629	45.00056859	45.00005350	45.00012519	45.00029329	45.00055629	45.00081971	45.00079601	45.00005694	45.00013261	45.00030739	45.00056859	45.00079601	45.00081899
45.00000458	45.00001011	45.00002227	45.00003926	45.00005303	45.00005695	45.00001011	45.00002236	45.00004947	45.00008770	45.00011898	45.00012706	45.00002227	45.00004947	45.00011018	45.00019721	45.00027019	45.00028510	45.00003926	45.00008770	45.00019721	45.00035931	45.00050424	45.00051722	45.00005303	45.00011898	45.00027019	45.00050424	45.00074420	45.00072132	45.00005695	45.00012706	45.00028510	45.00051722	45.00072132	45.00074533
45.00000500	45.00001058	45.00002257	45.00003896	45.00005227	45.00005653	45.00001058	45.00002248	45.00004817	45.00008366	45.00011281	45.00012124	45.00002257	45.00004817	45.00010401	45.00018272	45.00024912	45.00026414	45.00003896	45.00008366	45.00018272	45.00032757	45.00045878	45.00047128	45.00005227	45.00011281	45.00024912	45.00045878	45.00067913	45.00065555	45.00005653	45.00012124	45.00026414	45.00047128	45.00065555	45.00067885
45.00000538	45.00001097	45.00002269	45.00003843	45.00005126	45.00005573	45.00001097	45.00002243	45.00004667	45.00007960	45.00010676	45.00011531	45.00002269	45.00004667	45.00009799	45.00016931	45.00022993	45.00024459	45.00003843	45.00007960	45.00016931	45.00029942	45.00041898	45.00043026	45.00005126	45.00010676	45.00022993	45.00041898	45.00062277	45.00059756	45.00005573	45.00011531	45.00024459	45.00043026	45.00059756	45.00061906
45.00000573	45.00001126	45.00002266	45.00003771	45.00005004	45.00005464	45.00001126	45.00002224	45.00004505	45.00007559	45.00010090	45.00010936	45.00002266	45.00004505	45.00009217	45.00015698	45.00021249	45.00022647	45.00003771	45.00007559	45.00015698	45.00027446	45.00038404	45.00039368	45.00005004	45.00010090	45.00021249	45.00038404	45.00057376	45.00054639	45.00005464	45.00010936	45.00022647	45.00039368	45.00054639	45.00056544
