p0	p1	p2	p3	p4	p5	p6	p7	p8
45.00003855	45.00063582	45.00003855	45.00129463	45.02440367	45.00129463	45.02565975	45.66324254	45.02565975
45.00044119	45.00330796	45.00044119	45.00684601	45.05324153	45.00684601	45.05964635	45.48136319	45.05964635
45.00142563	45.00652702	45.00142563	45.01367912	45.06352776	45.01367912	45.07578125	45.35655990	45.07578125
45.00285523	45.00931875	45.00285523	45.01964730	45.06460646	45.01964730	45.08139851	45.26946280	45.08139851
45.00449437	45.01142155	45.00449437	45.02405438	45.06141861	45.02405438	45.08097856	45.20768942	45.08097856
45.00613359	45.01285914	45.00613359	45.02686578	45.05651988	45.02686578	45.07725195	45.16314086	45.07725195
45.00762587	45.01374700	45.00762587	45.02831064	45.05118657	45.02831064	45.07187114	45.13046308	45.07187114
45.00888606	45.01421166	45.00888606	45.02869020	45.04601913	45.02869020	45.06582297	45.10607832	45.06582297
45.00987778	45.01436211	45.00987778	45.02829267	45.04126886	45.02829267	45.05968333	45.08756949	45.05968333
45.01059838	45.01428362	45.01059838	45.02736126	45.03701276	45.02736126	45.05377508	45.07328530	45.05377508
