p0	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p40	p41	p42	p43	p44	p45	p46	p47	p48	p49	p50	p51	p52	p53	p54	p55	p56	p57	p58	p59	p60	p61	p62	p63
0	0	0	0	0	0	0	0	0	0.2160366667	0.555014303	0.3531572121	0	0.3627812121	0	0	0.2085597576	0.5903892121	0.5869870303	0.090702	0	0.6684383636	0.6693271515	0.1156810909	0	0.2439094545	0	0.0207321818	0	0.3646573939	0	0.0289288485	0	0	0.5405159394	0	0	0.4556147273	0.4061564848	0.0708292727	0	0.5664084848	0.6494147273	0.290508	0	0.4196566667	0.4902763636	0.2824524242	0	0.6633615152	0.5283609697	0.32872	0.5523883636	0.6384830303	0.4904253333	0	0	0.3058185455	0.4477204242	0.3256898182	0.2986128485	0	0.4163847879	0.2211366061
0	0	0	0	0	0	0	0	0	0.7032300606	0.7159978788	0.131949697	0	0.7075101212	0	0	0.7076695152	0.6545801818	0.730558303	0.1412576364	0	0.6605469697	0.7134984242	0.1303212727	0	0.7095700606	0	0.0307583636	0	0.7100433939	0	0.0257640606	0	0	0.2511167879	0	0	0.7169438182	0.3574548485	0.0844112727	0	0.2368390303	0.2691678182	0.7073226061	0	0.6801376364	0.33346	0.0783015758	0.2954035758	0.7107996364	0.6559293333	0.7075755758	0.6409940606	0.7062069697	0.7086154545	0	0	0.3153456364	0.7103555152	0.7099637576	0.386034	0	0.6360481212	0.2899639394
0	0	0	0	0	0	0	0	0	0.6979692121	0.7015561212	0	0	0.7109930303	0	0	0.7067970303	0.6395314545	0.6934655758	0.1612389697	0	0.6290116364	0.7144838182	0.1481404242	0	0.7074577576	0	0.0180950909	0	0.7079702424	0	0.0135741212	0	0	0	0	0	0.5698184242	0	0.0703195152	0	0	0	0.709911697	0	0.2779327273	0	0	0.3802180606	0.6897984242	0.652732303	0.7124835758	0.5175870909	0.4251572121	0.7083603636	0	0	0.1468890303	0.7250191515	0.7075412121	0.3142978788	0	0.6430647879	0.293950303
0	0	0	0	0	0	0	0	0	0.7147406667	0.3284204242	0.1948800606	0	0.7112217576	0	0	0.7109315758	0.6104070909	0.7087969091	0	0	0.6199724848	0.7108016364	0	0	0.7106185455	0	0	0	0.7069114545	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7104707273	0	0	0	0	0.4326392121	0.4183672121	0.6222213333	0.7053289091	0	0	0	0	0	0.5025756364	0.5623330303	0.7105332727	0	0	0	0
0	0	0	0	0	0	0	0	0	0.710658303	0.7379561212	0.0685227879	0	0.7104635152	0	0	0.7108645455	0.6325899394	0.7109635758	0	0	0.5486785455	0.7110927879	0	0	0.7078578182	0	0	0	0.7081126061	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7070984242	0	0	0	0	0	0.6327589091	0.6441407879	0.7107290909	0	0	0	0	0	0.5358899394	0.5560625455	0.7105902424	0	0	0	0
0	0	0	0	0	0	0	0	0	0.4230587879	0	0	0	0.2817408485	0	0	0.4220750303	0.5701441212	0.2837798788	0	0	0.4548598182	0.1415738182	0	0	0.4231022424	0	0	0	0.2812393939	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7108561818	0	0	0	0	0	0.6455146667	0.6401759394	0.7070773939	0	0	0	0	0	0.1168211515	0.730738	0.7107060606	0	0	0	0
0	0	0.3444962424	0	0	0.1606968485	0.0771213939	0	0	0.3667756364	0.479296	0	0	0.4702329697	0.466761697	0	0.0952092121	0.4913610303	0.4588109697	0.285176	0.447138	0.5479646061	0	0	0	0.2039842424	0.2830746667	0	0	0.2915816364	0	0	0	0.1283884848	0.1063	0.0760453333	0	0	0.1984410909	0.1208043636	0	0.3057847879	0.3124172727	0.4905509091	0.2423754545	0.1590769697	0.2033064848	0	0.2647686061	0.3324440606	0.56906	0.143904303	0.0742027273	0.5762330909	0.4492365455	0.107421697	0.1367995758	0	0	0	0.0323666667	0.1099390909	0	0.0543209697
0	0	0.5822699394	0	0	0.383309697	0.1588247879	0	0	0.4980463636	0.5862229091	0	0	0.6249429091	0.7113026667	0	0.1478098182	0.7023542424	0.6620369091	0.5793017576	0.4510354545	0.4318761212	0	0	0	0.2124423636	0.503032303	0	0	0.2183403636	0	0	0	0.5241965455	0.5895798788	0.2783053333	0	0	0.6422819394	0.3819871515	0	0.5350615152	0.6838818788	0.7137109697	0.6683950909	0.7060574545	0.7071585455	0	0.6409917576	0.7089321212	0.6854750303	0.4915538788	0.0916580606	0.6507435758	0.7264418182	0.2406813939	0.2940994545	0	0	0	0.0260683636	0.689691697	0	0.0255478182
0	0	0	0	0	0.6098890303	0.2166610909	0	0	0	0	0	0	0.5517935152	0.7096652727	0	0.2006991515	0.7191262424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0242733333	0.7081337576	0.2198247273	0	0	0.6446450303	0.3838803636	0	0.2733722424	0.6421779394	0.7163633333	0.6998150909	0.7077256364	0.7091210303	0	0.6404667879	0.7073088485	0.7193673333	0.7119207273	0.1148851515	0.6549058788	0.7227330303	0.1057551515	0.3943103636	0	0	0	0.130207697	0.7195319394	0	0.0237887273
0	0	0	0	0	0.250020303	0.0690621212	0	0	0	0	0	0	0.2597487879	0.282696303	0	0.3654487273	0.473367697	0.127148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010314303	0.7104496364	0.0494779394	0	0	0.2593052727	0.1584824242	0	0	0.6239843636	0.7091169697	0.4211317576	0.7074360606	0.2792712727	0	0.2616210909	0.2856377576	0.7268529697	0.7023983636	0.1896008485	0.5386934545	0.6864366061	0	0.0928624848	0	0	0	0.0139702424	0.6962775152	0	0
