p0	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p40	p41	p42	p43	p44	p45	p46	p47	p48	p49	p50	p51	p52	p53	p54	p55	p56	p57	p58	p59	p60	p61	p62	p63
45	45.7047357	46.1297365	45.921952	45	45.9421339	46.1790683	46.1837185	46.5284877	45.7308161	45.3304888	45.8928117	46.5327634	46.4036846	46.199414	46.1770456	45.542127	45.7325108	45.7255033	45.9084103	46.3441163	46.2076401	46.1821577	45.9334934	45.9137629	46.3276147	46.13196	45.8923479	45.4994055	46.1245997	46.1073434	45.0743875	45	46.3284805	46.337084	45.6884671	45	46.2951988	45.7143269	46.0865833	46.3749587	46.4098633	45.9626659	45.6971323	46.5315325	46.1488513	45.2918695	45.0884025	46.4242412	46.3955078	45.5446307	45.664667	46.545962	45.3489884	45.5109346	46.1195	46.4204622	46.3979424	45.7137659	45.2612106	46.3535707	45.7388093	46.1453476	46.1824752
45	45.6621368	46.84608	47.3558445	45	46.5796333	47.6795143	47.7087804	47.6754133	45.7507875	45.5333191	47.269275	47.7125889	47.4702279	47.7607448	47.6921796	45.8781745	45.7695202	45.8005352	47.3039068	47.0765634	47.7573851	47.7259754	47.2341826	46.250865	47.5615371	47.293983	47.2594618	46.600012	47.5241645	47.4659971	45.9187766	45	47.6148835	47.5816182	45.6462527	45	47.4803159	46.186598	47.3328782	47.5594371	47.852061	46.0180105	45.6133654	47.7283476	47.1372849	45.6417499	45.3197123	47.9355828	47.8326315	45.6661143	45.5438133	47.7708656	45.6412633	46.0575209	47.4675388	47.9190953	47.8173549	45.7183262	45.4791808	47.6769579	46.6769889	47.5654194	47.7001339
45	45.86665	46.6254125	48.4786415	45	47.2104452	48.9576694	48.3928379	48.5189877	45.8574461	45.7858935	48.3618488	48.2073686	48.6978586	49.1685217	48.9717526	46.0374203	45.8841957	46.048091	48.4084762	46.99349	49.0907806	49.0344719	47.3099509	47.1873557	48.1120409	48.2545833	48.3367383	47.6532245	48.6780729	47.1627439	45.9487401	45	48.6341835	47.704598	45.6700283	45	47.5246489	46.4554867	48.2611582	48.6048732	49.0694604	46.2137414	45.5583251	48.2343314	47.127161	45.7715188	45.618343	49.2777501	49.0145153	45.8494255	45.4652196	48.3067157	46.0046433	46.4094971	48.3325758	49.181121	47.522143	45.763275	45.410758	47.8627718	46.869282	48.723663	48.7990539
45	46.2338328	46.5806948	49.3413601	45	48.0334829	50.0126412	48.1498301	49.1873091	46.2229624	46.0557537	49.2370378	48.8591998	49.7983524	50.4124723	49.3456542	47.0905685	46.0784504	46.3856362	49.3005492	47.5312472	50.2482557	50.0886757	47.3061372	46.8703288	48.7804465	48.8612427	49.1944222	47.6471852	49.5742269	47.1645658	46.7938283	45	49.4107966	47.2805503	45.6762909	45	46.9619074	46.5067504	48.9514085	49.5316469	50.1071034	46.4395962	45.52152	47.9908951	46.952786	45.8932582	45.918267	50.4596547	49.9687031	46.0618829	45.4048679	48.0767052	46.2873426	46.588318	49.0107422	50.2017822	47.4515556	45.7820758	45.3531793	47.3672703	46.8747132	49.611635	49.0964869
45	46.093933	46.6337492	50.0146684	45	47.9054781	50.6223409	48.021883	49.7349577	46.5505763	46.3458025	49.9447818	48.6144826	50.7194797	51.263328	49.6749181	47.2761491	46.7029314	46.7880259	50.033519	48.4115805	51.0645089	50.7516761	47.3913162	46.6778127	48.4821192	49.601612	49.891706	47.9711307	50.0691045	47.5117642	46.5493822	45	49.7874709	47.0793037	45.6519065	45	46.7985556	46.5663308	48.6192002	50.3388872	50.7737771	46.6569866	45.4918398	47.8285023	47.0517435	46.2022049	46.1437108	51.2661371	50.5438052	46.2730114	45.3564971	47.7208375	46.687583	46.7764992	48.6665283	50.8101819	47.4964462	45.7904634	45.3048823	47.2059274	47.1143535	49.4200646	48.904783
45	46.9355401	48.0198284	49.2946084	45	47.8362942	49.7680786	47.8827714	49.3387552	47.5189359	47.5019835	49.6619829	48.7388096	50.7386787	50.6283686	49.097508	47.2891262	47.975125	47.2450087	49.7660142	48.6076045	50.4556469	50.0347869	48.2928422	47.1398927	47.9926735	49.7334773	49.6081084	47.6145391	49.1926195	47.5528911	47.2563751	45	48.8594174	48.0486181	46.7166739	45	47.7935526	47.7195133	48.4893945	50.2947603	50.0494305	47.7480918	46.5945609	47.5593315	48.0740972	47.6127707	47.6044229	50.583946	49.8038865	47.547264	46.2503156	47.7786347	48.1117405	47.8081678	48.7103384	49.9837619	48.6001973	46.9686093	46.1879749	48.2001906	48.6198762	48.7325292	48.4874284
45	48.3452929	49.3474841	48.6295711	45	47.7174619	49.0975535	47.6799604	48.5194219	48.9726106	49.054221	48.8874436	49.6773923	50.1146939	50.0818719	48.7020442	47.6061772	48.9059219	47.6802967	48.9410483	49.7565496	50.012149	49.5729215	49.5487481	48.29932	47.781707	48.9857361	48.7719753	47.3878082	48.5564769	47.5639687	48.2505622	45	48.2964433	49.2228626	47.9676994	45	48.7541859	48.2145	48.9663441	49.5548089	49.5547375	49.0702494	47.3374435	47.4786867	48.3248407	47.6100913	48.9398009	49.9878574	49.4109306	48.9856008	47.0397457	48.9627188	49.5207989	49.2421048	49.3157047	49.36302	49.6029904	48.4355257	46.7497762	48.207681	49.7831388	48.3890782	48.1400866
45	49.5261776	50.4396371	48.1996689	45	47.5649582	48.5583402	47.4527749	48.0471665	50.1442096	50.2485674	48.4023023	50.340125	49.7028863	49.5959178	48.429632	48.1387726	49.8504025	48.0540515	48.3332826	50.5397487	49.6970487	49.2852918	50.4564379	49.1533224	47.7344839	48.4461649	48.1381193	47.2616275	48.0845243	47.5882918	49.2426906	45	47.9770493	50.129036	48.7114886	45	49.2439945	48.8163322	48.3568118	48.9569894	49.2223284	50.1028637	47.4017458	47.3146472	48.4123537	47.8526984	49.8938005	49.4577952	49.2400181	50.0977777	46.8848735	49.8472793	50.7013277	50.2866775	48.8264207	48.8909461	50.1470839	49.6293709	46.6223695	48.3664641	50.6897149	48.2768151	47.834278
45	50.5197221	51.3444044	47.9364845	45	47.4077875	48.1151928	47.2233183	47.832293	51.1176191	51.1938446	48.1119327	50.8137153	49.4267157	49.1712493	48.2278549	49.2443976	50.6230089	48.3765473	47.8827334	51.0786422	49.4717271	49.1040743	51.1258378	49.8359181	47.7847664	48.0431303	47.6467848	47.1870896	47.7287158	47.6320326	50.0103298	45	47.7596722	49.5392991	48.017848	45	49.1972916	49.0249564	47.9718009	48.4638695	48.9894093	50.4064392	47.308513	47.8301276	48.3500545	48.1657782	49.9077928	48.9942801	49.1543422	50.2875799	46.8426596	49.0901901	51.0089626	51.0353609	48.5514713	48.5054968	50.1323551	49.8983831	46.574223	48.3362969	51.3929839	48.5076662	47.5568628
45	51.3605714	52.100365	47.7892416	45	47.259638	47.7445557	47.0035089	47.8162087	51.9378827	51.9605737	47.9516148	51.1567961	49.2387669	48.8036762	48.0686152	50.5358386	51.1005244	48.643815	47.546343	51.4530278	49.3094857	48.9884265	51.6175328	50.4320092	47.8836812	47.7330774	47.2584645	47.1390983	47.4564891	47.6807553	50.3981392	45	47.5580874	48.8789629	47.5328123	45	48.3433614	48.5155109	47.649788	48.0503985	48.7701034	49.7047124	47.217705	47.5215584	48.2792261	48.3962898	49.0612611	48.5885852	49.0257211	49.5489004	46.8067616	48.5828959	50.4047888	51.5628432	48.3614807	48.151858	49.4482308	49.1963424	46.5223638	48.0593291	50.4291967	49.32462	47.351635
45	52.0769401	52.7378425	47.7210634	45	47.1261249	47.4302546	46.7992681	47.931202	52.6410933	52.5944911	47.8770742	51.4093594	49.1091408	48.4870586	47.9368463	51.5329122	51.5797393	48.859537	47.293099	51.7159774	49.1917966	48.9123997	51.9783792	50.9672285	48.0073037	47.4875085	46.9463004	47.1050351	47.2453726	47.7264857	50.7188825	45	47.3611187	48.3514377	47.1703121	45	47.7409415	48.1252577	47.7647962	47.6992299	48.5293857	49.1298009	47.0985382	47.2776722	48.1402642	48.4918602	48.4609816	48.2289884	48.8233167	48.959746	46.7397776	48.173406	49.9495764	51.5006641	48.2137884	47.8149912	48.8897513	48.6103884	46.4406045	47.7786571	49.7308381	49.6622741	47.6558238
45	51.7608817	51.9576687	48.0871136	45	47.226773	47.397803	47.0618472	48.4863031	52.3870508	52.2369045	48.0587287	50.324163	48.9751583	48.2209979	47.7857441	51.6660936	51.9826761	49.0441605	47.5330742	50.6444616	49.070443	48.8029843	50.7466285	50.5711048	48.1369821	47.9197145	47.1412642	47.4576595	47.5029334	47.767926	50.5061442	45	47.8181697	48.3884817	47.5255516	45	48.1594624	48.4711107	47.8161116	48.0764161	48.746717	48.9050224	47.208657	47.7195469	48.4393678	48.515091	48.0454223	48.5950637	48.6413658	48.7087542	46.8878635	48.2797516	49.6014861	51.0150882	48.3209885	48.1975701	48.6701432	48.3667442	46.7839479	47.9492854	49.2016751	49.2516719	48.5470063
45	50.8175071	51.124963	48.3061592	45	47.9379745	47.8666643	48.375058	48.4005533	51.5286841	51.3390588	48.4103466	49.3293869	48.8186387	48.0141788	47.6449143	50.8550767	50.995327	49.2103502	48.781239	49.6920584	48.9412592	48.6324279	49.8089055	49.6502207	48.2180352	49.0717026	48.3937166	48.0826772	48.5073087	47.7959262	49.4526497	45	49.0002172	49.1344628	48.619026	45	49.1617297	49.5672213	47.8857505	49.2833811	49.6023084	49.041727	47.5915825	48.9258976	49.7547187	48.5724168	47.796765	49.8086039	48.6453339	49.0066554	48.2911323	49.2188533	49.3928198	50.0762051	49.4132499	49.4578568	49.6349331	48.9257402	48.1601025	48.4962289	48.8040854	48.9057155	48.599444
45	50.0431666	50.4165224	47.9830275	45	49.1306186	49.1858537	49.4520681	48.2412913	50.7930242	50.6570229	48.240581	48.6029765	48.685735	47.8996708	47.5532564	50.1501439	50.2607175	49.3611773	49.6942912	49.0549192	48.8243224	48.435359	49.0619489	48.9465724	48.2378413	49.9250093	49.3750574	49.1324187	49.2286969	47.8075107	48.6542658	45	49.8157029	48.794561	49.3696636	45	49.9932112	50.3615336	47.5895807	50.2394783	49.3303354	49.8084671	47.8203093	49.8482012	50.7703741	48.7243814	48.3091749	50.835448	48.8090045	49.3317397	49.3416246	49.0798437	49.2800058	49.4886909	50.3498226	50.5454711	50.195671	48.6370462	49.2342938	48.0313716	48.4806073	48.5705782	48.2455635
45	49.4002758	49.7981458	47.6881711	45	50.0563013	50.2848649	50.3669728	48.0425362	50.156787	50.1052978	48.1017984	48.0689309	48.6040567	48.2813508	47.5165047	49.5400196	49.6932591	49.4793433	50.1403183	48.6420815	48.7257129	48.2481793	48.464432	48.3927316	48.2165017	50.3503136	49.5311794	49.8731227	49.9842381	47.8125831	48.04131	45	50.3455134	48.7217693	49.2531834	45	50.6976601	50.9550692	47.4455167	50.9692734	49.3309892	50.5324414	48.1167411	50.5391315	51.5761377	48.9435992	48.5005828	51.269338	49.0134439	49.6684786	50.1452423	48.6042758	49.179766	49.1323276	50.9854726	51.010475	50.6360002	48.5550877	50.0566638	47.6471721	48.1822591	48.2568608	47.9974308
