p0	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p40	p41	p42	p43	p44	p45	p46	p47	p48	p49	p50	p51	p52	p53	p54	p55	p56	p57	p58	p59	p60	p61	p62	p63
45	46.373301	46.3334138	45.0496969	45	46.1375852	45.9157979	45.0340982	46.5864354	46.3769836	45.304994	45.0107002	46.5093408	46.187885	45.7061749	45.0271277	46.3650626	45.9182571	45.0431531	45.0004144	45.9655539	46.1575164	45.4780425	45.0176707	45.0509401	45.0337331	45.0016576	45	46.3025714	46.1143139	45.0587642	45.0008288	45	46.5331779	46.360482	46.0744267	45	46.3030104	45.6736726	45.0250556	46.3416893	46.3999795	45.9293841	45.0748143	46.5167257	46.3592882	45.2807301	45.0094569	45.5076267	45.8944447	45.2712855	45.0098714	45.9335154	45.5335654	45.0287977	45.0004144	45.017281	45.03249	45.0094693	45.0004144	46.134672	46.1198774	45.0418975	45
45	46.6973051	47.5825405	45.1746598	45	47.3457402	47.3668958	45.1433432	47.0278391	47.6944137	45.6961919	45.0433561	47.694896	47.7314931	47.2390686	45.1337254	46.6228828	46.6783082	45.1501306	45.0026058	47.2921865	47.668282	46.9955714	45.1051573	45.1414084	45.113395	45.0104232	45	47.5433509	47.4538745	45.2555863	45.0072837	45	47.7554717	47.7288774	47.3062808	45	47.4969564	45.8315455	45.0680984	47.6512818	47.8560626	46.9726763	45.2759914	47.6993203	47.4923234	45.5864257	45.0342953	46.0281147	46.8416385	45.5835183	45.0381444	47.1374551	45.8973772	45.0990894	45.0026058	45.0605466	45.1150469	45.0356921	45.0026058	46.6472884	46.5805992	45.1249031	45
45	46.6296171	47.8852408	45.3190368	45	48.6250204	48.589744	45.319555	46.783902	48.2549649	46.0901063	45.0948343	48.4792916	49.1254608	48.5477486	45.3266743	46.4445117	47.2630663	45.295132	45.0069845	48.2328695	49.0470437	48.2190633	45.2710395	45.2116706	45.2114144	45.027938	45	48.5501564	48.5511254	45.5672221	45.0269982	45	48.7699351	48.6777207	48.0329521	45	48.1800588	45.8409328	45.0988507	48.719481	49.1157429	47.6816622	45.5442806	48.043416	48.2096807	45.872958	45.0668919	46.3277564	47.4099713	45.9063545	45.081694	48.047055	46.0912289	45.182759	45.0069845	45.1126976	45.2183413	45.0753194	45.0069845	47.089836	46.327007	45.1895164	45
45	46.6172664	47.2775642	45.4153706	45	49.7238057	49.6343904	45.5329341	46.8762256	48.8555139	46.2059684	45.1465581	49.168837	50.3870408	49.6807619	45.5746377	46.7478592	46.9004243	45.4175147	45.0128592	48.6827271	50.2807087	49.2382118	45.4808224	45.2727153	45.2795564	45.0514369	45	49.367119	49.4757271	45.9292586	45.0614701	45	49.3695802	48.2001516	47.3391392	45	47.4412195	45.8752838	45.1152845	49.5896709	50.1251111	47.4736827	45.7442858	47.5063684	47.6933756	45.8807645	45.0926526	46.411352	47.0780684	45.9436307	45.1252223	47.4449159	46.2405095	45.2539745	45.0128592	45.1548908	45.2889571	45.1138746	45.0128592	46.7629429	46.1602909	45.2200095	45
45	46.5823767	46.853634	45.4533183	45	50.4635933	50.5235729	45.7630437	46.9755301	48.4375533	46.2814353	45.183973	49.7577993	51.5171937	50.6713833	45.8531379	47.1722138	46.7061919	45.4917108	45.0183676	48.7800694	51.3588521	50.1075347	45.7112008	45.3439383	45.3071087	45.0734706	45	50.0212981	50.2671117	46.3047791	45.1083156	45	50.0473639	47.923855	46.870858	45	46.9394578	45.8699616	45.1221877	50.2980182	50.8957372	47.4057247	45.830938	47.1128828	47.2997046	45.8659237	45.1056236	46.5209827	46.9306369	45.9484225	45.1559949	47.0147669	46.2834557	45.3017694	45.0183676	45.1807773	45.3141104	45.1404363	45.0183676	46.4877844	46.0265323	45.2294635	45
45	46.4984725	46.5499721	45.4566333	45	51.1378357	51.2797488	45.996321	46.8022575	47.7426617	46.2873659	45.2073601	49.024658	52.4482701	51.541305	46.144207	46.8323679	46.5532688	45.5328551	45.0225886	48.7394948	51.664453	50.8365604	45.9468639	45.3963636	45.3160623	45.0903549	45	50.3294224	50.7126792	46.6636919	45.1640145	45	50.3364196	47.7715801	46.5401338	45	46.5860361	45.8390493	45.1226956	50.2207276	50.8560366	47.391728	45.850733	46.8120241	46.9885476	45.8335298	45.1102048	46.6227484	46.8627255	45.9405897	45.1747607	46.6963924	46.2639164	45.3291537	45.0225886	45.1942405	45.3148697	45.156488	45.0225886	46.2600421	45.9143071	45.2263063	45
45	47.2750847	47.0185106	45.6935829	45	51.6825484	51.6672556	46.213417	47.5233998	47.7723058	46.7343906	45.678583	48.768415	51.8712902	50.9861426	46.3839572	47.4947693	47.0992416	46.2528305	45.6817903	48.6707238	51.0756246	50.535421	46.1427635	45.8803475	45.5859389	45.7496747	45.0493195	49.5181245	49.7917978	46.9060672	45.2234804	45	49.2871767	47.6357557	46.2961883	45	47.6239748	46.7032855	45.3893618	49.3089422	49.955225	47.3512836	45.8320178	47.6653723	47.7114284	46.7338399	45.813776	46.662156	46.7871176	45.9244079	45.1837034	47.3786174	47.1705317	46.2776442	45.7449043	45.1986619	45.3030274	45.1641847	45.0253617	46.9961087	46.970949	45.9527147	45.7106455
45	48.5755675	48.1470941	45.9744149	45	51.606379	50.6616061	46.3485779	48.7978887	49.0950974	48.2864001	46.939351	48.6064078	51.4278441	50.3426246	46.5293349	48.8148393	48.5377947	47.5821253	46.2586894	49.5477487	50.6068138	49.6646516	46.2491589	47.419204	47.1958759	46.7370548	45.1819716	48.765786	49.1141093	46.9805364	45.2771506	45	48.5406041	47.4678218	46.1090713	45	48.6758121	48.1165447	47.0046308	48.6145203	49.2397664	47.2610623	45.7921105	48.3612805	49.0792085	48.2509078	47.3803228	46.6324843	46.6827295	45.8974154	45.1852503	48.227214	48.2625974	47.6016277	47.1127108	45.1967694	45.2851544	45.1656535	45.0268456	48.2928231	48.3502744	47.1200447	47.0453845
45	49.6389976	48.3079986	46.4479625	45	51.0454955	49.8924781	46.3848328	49.6655959	50.3178129	49.5267051	46.7052817	48.2700832	50.8214925	49.7863761	46.5924833	49.8090276	49.8159816	47.8890692	46.3473739	49.0138479	50.1817302	49.0145163	46.27385	48.6918664	48.4911345	46.5496071	45.7246923	48.2291833	48.5917187	46.9414709	45.3170935	45	47.9888914	47.2844252	45.9607308	45	49.5678255	49.3389708	48.3434803	48.0743205	48.6608256	47.1392955	45.7415734	47.9162928	50.2173286	49.5839119	48.7735359	46.5610226	46.5659669	45.8601162	45.1815751	47.9156871	48.8062381	47.5429066	48.4969186	45.1906614	45.2648805	45.1627202	45.0273023	49.3228612	49.4975877	47.0904136	48.1782834
45	50.0677718	48.3632558	46.7764245	45	50.1414263	49.2636664	46.3597866	50.4167707	51.4054952	50.4598018	46.6666904	48.1807733	50.2870279	49.297674	46.5940985	50.318802	50.9101489	48.2598368	46.2364607	48.5793904	49.7545593	48.506781	46.247192	49.7320904	49.5249759	46.5540271	45.6661021	47.799147	48.1719155	46.8431585	45.3416003	45	47.566702	47.0973207	45.8399849	45	50.3314062	50.3907719	49.4640368	47.64565	48.1851895	47.0000997	45.6868026	47.6947869	51.1295342	50.1293528	49.976229	46.4663029	46.446397	45.8150689	45.1744397	47.7990125	49.8936482	47.7346079	49.5945811	45.1818985	45.2441785	45.1568403	45.0269984	49.4835689	50.192888	47.1777711	48.6630833
