p0	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p40	p41	p42	p43	p44	p45	p46	p47	p48	p49	p50	p51	p52	p53	p54	p55	p56	p57	p58	p59	p60	p61	p62	p63
0	0.6580690303	0.1229846061	0	0	0.5508277576	0.0954189091	0.0625518788	0.7047895152	0.5932673333	0.0480249091	0	0.7106773333	0.5473696364	0.1291347273	0	0.6023808485	0.5617835758	0.0961381818	0	0.6611233333	0.523241697	0.0478159394	0.0234296364	0.1372455152	0.0636365455	0	0	0.6295989697	0.1162363636	0.0998183636	0	0	0.6771778788	0.6045640606	0	0	0.6603864242	0.1308203636	0.0732137576	0.6947961818	0.624236303	0.0510853939	0	0.7056350909	0.6130300606	0.0518678182	0.049922303	0.0833058182	0.0467575758	0.0314123636	0	0.6064678788	0.5647570303	0.0994207273	0	0.0688312727	0.0678901212	0	0	0.1430553939	0.509690303	0.0447070303	0
0	0.7061484848	0.1241014545	0	0	0.6915019394	0.160902	0.1035518182	0.7152732727	0.6913329697	0.0478470909	0	0.7087055152	0.7021455152	0.1350330303	0	0.7009275758	0.7101150909	0.0968124848	0	0.7170110303	0.7274507273	0.0456	0.0260455152	0.1347410303	0.0972500606	0	0	0.7062890909	0.1148291515	0.1415963636	0	0	0.6949481818	0.6994789697	0	0	0.7249573333	0.1159526667	0.1723665455	0.7154025455	0.717219697	0.2147761818	0	0.7074516364	0.6828776364	0.1291547879	0.0638146667	0.0672353939	0.1973844848	0.0281940606	0	0.7097695758	0.7179738788	0.1303647879	0	0.0623454545	0.0818437576	0	0	0.1262065455	0.7125198182	0.0454510909	0
0	0.4415324242	0.0655741818	0	0	0.2920190303	0.0771082424	0.069561697	0.4162980606	0.137412	0.1208747273	0	0.5531375758	0.5800610909	0.097048	0	0.4285887879	0.5671774545	0.0816229091	0	0.5597713939	0.5562081212	0.0345835758	0.0202075152	0.0902512727	0.0673796364	0	0	0.588038303	0.108228	0.108228	0	0	0.6951320606	0.6900208485	0.0935270303	0	0.5528373333	0.1816707879	0.1603386667	0.7302755758	0.7071198788	0.1701724242	0.0607803636	0.5310813939	0.3533625455	0.0359745455	0.0480107879	0.0864746667	0.0490504242	0.1104507273	0	0.4217216364	0.5555323636	0.0830450909	0	0.1368405455	0.0690964848	0	0	0.0714359394	0.5676663636	0.0346453333	0
0	0	0	0	0	0.6894633333	0.6412646061	0.1020286667	0	0	0	0	0.6825630303	0.6774587879	0.1388473333	0.0552778788	0	0	0	0	0.7256658182	0.5533650303	0.1499269697	0.0766672121	0	0	0	0	0.683863697	0.09238	0.1081847273	0.0841360606	0	0.4158671515	0.4163692727	0.6276352727	0	0.6420944848	0.4681055758	0.0795014545	0.7032596364	0.7236747879	0.0660043636	0.6789444242	0.6662442424	0.661258303	0.0991184848	0.0723502424	0.0672353939	0.0520801212	0.0291319394	0.0826885455	0.5697832121	0.5271562424	0.1308046061	0.0489595152	0.0625587273	0.0827670303	0.0680375758	0.0561884848	0.490060303	0.102611697	0.0710470909	0.0420029091
0	0	0	0	0	0.6991590909	0.7029722424	0.0920518788	0	0	0	0	0.6929907879	0.711919697	0.1972851515	0.0471812121	0	0	0	0	0.6945876364	0.7216190303	0.1417758788	0.0873253939	0	0	0	0	0.7169561818	0.1397187879	0.0935031515	0.0934892727	0	0	0	0.6942219394	0	0.6860514545	0.6967338182	0.0822293333	0.2807478788	0.285876303	0.1308244848	0.7149590303	0.7324347273	0.6976998182	0.1024577576	0.0817402424	0.1426630909	0.0150324848	0.0099558788	0.0653483636	0.6987104242	0.715582	0.1035978788	0.1906001818	0.102278303	0.1127098182	0.0480997576	0.204684303	0.7149569697	0.0614826061	0.0660555758	0.0520470303
0	0	0	0	0	0.5743120606	0.5639910909	0.0785356364	0	0	0	0	0.2759520606	0.4184376364	0.1016812727	0.0399189091	0	0	0	0	0.5719881818	0.4153887273	0.1250657576	0.0626863636	0	0	0	0	0.5470093333	0.0798901212	0.0694787879	0.0702875152	0	0	0	0.6944923636	0	0.4182865455	0.7069774545	0.0934896364	0	0	0	0.7143915152	0.5527319394	0.698394	0.116715697	0.0930001818	0	0	0	0.0723672727	0.691176303	0.7088521818	0.1863256364	0.0369381818	0	0	0.050806	0.0568627879	0.714296303	0.0817402424	0.0642392121	0.1262902424
0	0.5519619394	0.4684400606	0.3355458788	0	0.1210923636	0.0567113939	0	0.6773905455	0.5786419394	0.4073593333	0.4132157576	0.1696964242	0.2016884848	0.0425878182	0	0.520238	0.4288503636	0.389989697	0.125366303	0.1441646667	0.1209224848	0.0770192727	0	0.4572614545	0.4059904242	0.430710303	0.3577940606	0.1311649091	0.0877269091	0	0	0	0.4365794545	0.1949453333	0.5547652121	0	0	0	0	0.3690826061	0.1568461212	0.0625645455	0.716339697	0	0	0	0	0.1004144242	0.1026783636	0.0429204242	0.0718155758	0.6947715152	0	0.0379922424	0.0451078182	0.0928792727	0.0738001818	0.0585695152	0.1349061818	0.7148457576	0	0.0370618788	0.0479600606
0	0.6893828485	0.7104091515	0.691211697	0	0.1081989697	0.034894303	0	0.7174589697	0.7006853939	0.7013179394	0.6506861212	0.2156271515	0.0947927879	0.0474385455	0	0.7146822424	0.689632303	0.7150168485	0.1267408485	0.0948587879	0.0716965455	0.10985	0	0.7244372121	0.715982303	0.660407697	0.6633837576	0.059232303	0.0537470909	0	0	0	0.69265	0.1909435152	0	0	0	0	0	0.7171639394	0.1191276364	0.1210378182	0.4378387273	0	0	0	0	0.1243676364	0.1414937576	0.0354830909	0.0405953939	0.2781135152	0	0.0415778182	0.0562392121	0.1193201818	0.0434885455	0.0249225455	0.048658303	0.7120175152	0	0.1830875758	0.059803697
0	0.4152881212	0.7270804848	0.6922163636	0	0.1089326667	0.0284966061	0	0.5601501818	0.7078146061	0.7072593939	0.7202669091	0.1269811515	0.1197210303	0.1263858182	0	0.7009773939	0.6929583636	0.717390303	0.138676303	0.176724303	0.1284974545	0.1096064848	0	0.7087430303	0.7005527879	0.6972002424	0.6980852121	0.0577269697	0.1573208485	0	0	0	0.4431311515	0.1965672121	0	0	0	0	0	0.7000169697	0.1246744242	0.0406840606	0	0	0	0	0	0.132523697	0.2406502424	0.0355084848	0	0	0	0	0.0233064242	0.1102332121	0.1279539394	0	0	0.1407355152	0	0	0.011844
0	0.1531576364	0.1435017576	0.6985276364	0	0.3641489091	0.0459967273	0	0.1486317576	0.1430884848	0.2540086667	0.7171909697	0.4625356364	0.1786965455	0.0415057576	0	0.700356	0.6968901212	0.333881697	0.146996	0.3602601212	0.0960321212	0.202079697	0	0.7203490303	0.6998510909	0.2562387879	0.3473014545	0.1981797576	0.0658399394	0	0	0	0.0267465455	0.0165059394	0	0	0.3058318788	0.3002727879	0.2990986667	0.0501605455	0.0729429091	0.0170697576	0	0.3822865455	0.3210136364	0.2886750303	0.2662227273	0.0539229091	0.0440067273	0.0312535152	0	0.3720152121	0.2968975152	0.2395812121	0.1345303636	0.0753254545	0.0181468485	0	0	0.3495932121	0.2559878182	0.2254132727	0.1391567273
