p0	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p40	p41	p42	p43	p44	p45	p46	p47	p48	p49	p50	p51	p52	p53	p54	p55	p56	p57	p58	p59	p60	p61	p62	p63
45	46.3503051	45.9663484	45.710902	45	45.6805088	45.5002295	45.709829	46.3585189	46.2047392	46.166522	46.0987029	46.29437	45.7390299	45.7147907	45.9071821	46.2037096	46.1834133	45.7337417	45.2951473	46.1447688	45.7419431	45.6996188	45.294115	46.3638441	46.3444813	45.7139372	45.6477881	46.3013405	45.9194633	45.6966808	45.6706127	45	46.3046558	45.9441293	45.8927747	45	46.3124675	45.9445437	45.9232075	46.3589333	46.2129653	46.1751625	46.106929	46.3214977	46.4176626	46.1833762	46.1449701	46.2111068	46.3889271	45.9544645	45.3115871	46.1714821	46.4045504	45.9557077	45.327007	46.4044367	46.194265	45.9572935	45.8915464	46.3646607	46.4065705	45.973721	46.1438436
45	47.2325803	46.850967	46.110375	45	46.258785	45.9898408	46.3387235	47.2512588	46.9010019	47.3567759	46.385329	46.8778542	46.6454235	46.3797456	46.6833659	47.0735529	47.2012345	46.2650113	46.4237299	47.081564	46.6703617	46.3560868	46.2748437	47.0407753	46.8081106	46.1206491	45.96091	46.6762186	46.490839	46.2979741	46.2371999	45	46.8918665	46.7436407	45.9797823	45	47.1308753	46.9599864	46.0751632	46.6152904	46.8553179	46.9580943	46.3564746	47.1529789	47.2235869	47.0104689	46.8922592	47.0399258	46.9230685	46.1696331	45.8306964	47.1485814	46.7627425	46.1943049	46.3430233	46.9437964	46.7786149	46.1267336	45.9550791	47.0429698	46.729425	46.3940671	46.891423
45	47.3132838	47.1747075	46.8768872	45	47.2449264	47.3733054	47.6000378	47.9956647	47.3418824	47.4873174	46.7189282	47.4166537	48.0910131	47.722456	47.8426334	48.0513019	47.4579431	47.2157698	46.8770755	47.6709615	47.5600318	47.665579	47.1588153	47.6193623	47.2567438	46.9305391	46.6746361	47.8595988	47.4781351	47.5022367	47.399781	45	47.630811	48.0239286	46.7620337	45	47.9976464	47.4037047	46.6832988	47.769013	47.6691537	47.2744249	46.8652984	48.0447206	47.7748544	48.1308066	47.1503972	48.201974	47.4734637	47.1026359	47.0831245	48.1399581	46.7546151	46.7576139	47.1485354	48.0989652	47.1097181	46.9705795	46.5191785	48.0231375	46.6606555	47.6040461	47.35313
45	47.8836443	47.9147075	47.277531	45	47.8436147	48.0932175	48.0021361	48.6223742	48.1872743	47.9465362	47.2411026	48.074327	47.8130226	47.9918914	47.9645032	48.4524679	48.2366703	47.7858546	47.2853668	48.1881007	47.7214077	47.7140895	47.9129467	48.1217135	48.0963044	47.3923751	46.6168076	47.7222854	47.8645225	47.8444066	47.912055	45	47.6262681	47.981752	47.1615909	45	48.0492484	47.6170582	47.3664184	48.2751867	48.3725251	48.0900903	47.3418229	48.318611	48.2950077	47.7846311	47.4159381	48.5350899	47.8346265	47.9010422	47.4319652	48.1073579	47.7344737	47.6605204	47.1669188	48.6067102	47.688155	47.6911917	47.0230408	48.3566274	47.5784248	47.7106648	47.5402013
45	47.4886973	47.8346736	47.1753254	45	48.2871147	48.0396603	48.1009498	48.7216937	47.9988402	47.9257083	47.2570033	48.1421734	47.7324637	48.2101369	48.0888217	49.4520088	48.0520482	47.8615397	48.229421	48.6097679	47.932327	48.0257757	47.8505132	48.5413926	47.7104651	47.3531196	47.0589503	48.5446987	48.8127176	47.9719685	48.1024363	45	47.9404906	48.9164628	48.1358043	45	48.6013383	48.4407468	47.72642	49.14835	49.2272553	49.0447476	48.233363	48.8141965	49.1646422	47.7610373	48.4661175	49.1403198	48.8977385	48.8552381	48.4475067	49.0342274	48.5905946	48.5278767	47.2971267	49.7212765	48.6783108	48.578471	48.1213663	48.8891241	48.1218688	47.903519	47.9058808
45	48.092072	48.2390875	47.7742142	45	48.4522474	48.9055575	48.4218794	48.8294686	48.7346589	48.2117684	47.9228188	48.6500459	48.4034095	48.6557696	48.22715	48.9330805	48.4270982	48.5845204	47.7361139	48.7837442	48.7886901	48.7526665	48.47653	48.65394	48.3360764	48.0360763	47.8036186	48.5240001	48.3273228	48.5241896	47.8629884	45	48.6517293	49.4560794	48.0696552	45	48.6360295	48.8953702	48.2526769	49.1915529	49.1420021	49.2376671	48.5148721	49.0118454	48.868774	48.8897787	48.0404632	49.4578457	49.3564008	49.2390352	48.2091812	49.1284088	49.3065353	48.8528711	48.0747814	49.3246819	49.2732292	48.8969231	47.6967937	48.4975918	48.8054738	48.5430331	47.7997407
45	48.8160467	48.8453197	48.5030258	45	49.1031778	49.6258413	48.714892	49.350159	49.3393457	48.3589492	48.807453	48.6770886	49.2072414	49.721093	48.2353249	48.6540186	49.1766254	48.5430638	47.5296373	49.6086137	49.2853534	49.6314956	49.4014711	49.1751059	49.0847207	49.0144538	48.1409928	49.1473711	48.1366945	49.1291481	48.0003867	45	48.5473895	49.049493	48.2588163	45	49.0705825	48.4943962	48.8218996	49.911661	49.5626047	49.2259201	48.5509642	48.9768912	48.8020216	49.0052339	47.8506219	50.1347123	49.1350775	49.5593617	49.1116287	49.8893299	50.0821264	48.844454	48.6403798	49.4763374	48.8647963	49.1394491	47.8637907	49.1483944	49.61604	49.2944468	48.6764268
45	49.6017963	49.2054073	49.1021805	45	49.865012	49.8082265	49.2048375	49.5549946	49.4723748	49.1934888	49.2957715	49.3988781	49.8819729	49.3225817	48.920683	49.3916586	49.5542324	48.8552444	48.4956733	49.6455287	49.7447477	49.2780926	48.8809308	49.3787508	49.273939	48.928724	48.433685	49.409196	48.9325083	49.2077109	49.1918816	45	49.3575375	49.4921185	49.2332391	45	48.996131	49.1186965	49.0519578	50.4752146	50.3495342	49.4969313	49.0792754	49.1962424	49.628224	49.3663429	48.6205262	49.6263279	49.652553	49.2472027	49.3536982	49.2293174	49.6405048	49.3129216	48.8976858	49.5762148	49.2500788	49.547814	48.4668053	49.4103396	49.180532	48.8318607	48.9312787
45	49.3704996	49.1054947	48.4721237	45	50.0611813	50.4168025	49.8570882	49.9964681	50.4958745	49.8180411	48.6844134	49.3400679	50.4038414	49.1655393	49.395466	49.7981542	50.1306517	48.9707154	48.7235724	49.9576251	50.3605645	49.279485	48.7821685	50.0107602	49.8669329	48.5098535	47.8394146	49.453422	49.7502652	49.7642588	49.4184681	45	49.3644374	50.0899231	48.5246084	45	49.6529124	49.6218054	49.0806971	49.8299596	50.5709601	50.5905083	49.4720462	49.3712011	50.2384708	50.1502768	49.0164938	49.3223314	50.2332746	49.1157496	48.7335144	49.0088	49.3596826	49.2358118	49.1264563	50.1031197	50.2063224	49.0426289	48.4521387	49.5463166	48.8391225	48.6981886	48.8945458
45	49.4608602	49.6713408	48.8860226	45	49.9921456	49.8812019	50.3836984	50.7841324	50.2309841	49.4888217	49.1193151	49.9708711	50.0085898	50.3658067	50.0458757	50.1999391	50.4107303	49.5255557	48.9004161	50.616591	50.0719561	50.2250851	49.853091	50.3058582	50.1333191	49.1089131	48.2874701	49.3635003	50.1523807	50.4499862	49.8782658	45	49.4026399	49.9133424	49.1151233	45	49.0850956	49.1743818	49.3360655	50.0257042	50.543422	50.1526642	49.5548525	49.9394486	49.8877941	49.7078694	49.3361215	49.9866552	50.2645894	49.6878006	49.1770548	49.9307458	50.0671675	49.8706188	49.5485872	50.3278009	50.0823144	49.5755544	48.6541929	49.4822548	49.6945742	49.4917912	49.1256153
